PersonId,EducationId,Start,End,Certificate,Specialization,Field,InstitutionLocation,InstitutionTitle,Title
3,1,9/1/1995 0:00,8/31/2005 0:00,Bachelor’s Degree,NULL,Software Creation ,Bratislava,"Comenius University, Faculty of Mathematics , Physics and Informatics ",Bachelor in Software Creation
4,2,1/1/2009 0:00,1/30/2009 0:00,,,,,,ISTQB® / SAQ Certified Software Tester - Advanced Level Test Manager
4,3,1/1/2008 0:00,12/31/2008 0:00,,,,,,ISTQB® / SAQ Certified Software Tester - Foundation Level
4,4,1/1/1998 0:00,12/31/2006 0:00,,,,,,ERNI Foren
4,5,1/1/1998 0:00,12/31/2006 0:00,,,,,,"ERNI Education Camps: Design Patterns, COM, SW Configurations Management; JAVA, .Net C#"
4,6,1/1/2006 0:00,12/31/2006 0:00,,,,,,Einführung in .Net 2.0
4,7,1/1/2004 0:00,12/31/2004 0:00,,,,,,ERNI Verhaltenstraining
4,8,1/1/2003 0:00,12/31/2003 0:00,,,,,,Seminar über Software-Sanierung (Software Refactoring)
4,9,1/1/2001 0:00,12/31/2001 0:00,,,,,,ERNI Project Focus Meeting über Software-Engineering RUP
4,10,1/1/2000 0:00,12/31/2000 0:00,,,,,,ERNI Verhaltenstraining „Project Factory“–Kommunikation im Team
4,11,1/1/1999 0:00,12/31/1999 0:00,,,,,,Unix Grundlagen; Sun Educational Services
4,12,1/1/1999 0:00,12/31/1999 0:00,,,,,,Rational Unified Process; Rational University
4,13,1/1/1997 0:00,12/31/1997 0:00,,,,,,Unified Modeling Language 1.0; COMPUTEC GMBH Software
4,14,1/1/1997 0:00,12/31/1997 0:00,,,,,,Paradigm Plus; COMPUTEC GMBH Software
4,15,1/1/1994 0:00,12/31/1994 0:00,,,,,,Blockkurs Textiltechnik; ETH Zürich
4,16,1/1/1993 0:00,12/31/1993 0:00,,,,,,Software – Wartung; DIGICOMP
4,17,9/1/1991 0:00,8/31/1992 0:00,Fachingenieur NTB,,"Elektronik, Regelungstechnik und Computertechnik",,Neutechnikum Buchs SG,Nachdiplomstudium
4,18,9/1/1988 0:00,8/31/1991 0:00,Informatik Ingenieur HTL,,,,HTL Brugg-Windisch,Informatik Studium 
4,19,1/1/2010 0:00,1/30/2010 0:00,,,,,,ISTQB® / SAQ Certified Software Tester - Advanced Leve
5,20,6/1/2010 0:00,6/30/2010 0:00,,,,,,ISTQB® / SAQ Certified Software Tester - Foundation Level
5,21,7/1/2009 0:00,7/2/2009 0:00,,,,,,Facilitated Workshop Training
5,22,1/1/2008 0:00,12/31/2008 0:00,,,,,,IREB Certified Professional for Requirements Engineering (Foundation Level)
5,23,1/1/2006 0:00,12/31/2006 0:00,,,,,,Certified Project Management Associate (IPMA Level D)
5,24,1/1/2006 0:00,12/28/2006 0:00,,,,,,Einführung in .NET 2.0
5,25,1/1/2004 0:00,12/31/2004 0:00,,,,,,ERNI Education Camp 2004: OpenSource; MDA (Model Driven Architecture); UML 2.0
5,26,1/1/2003 0:00,12/31/2003 0:00,,,,,,ERNI Education Camp 2003: Software Engineering in Indien; Prozessmanagement; Microsoft Project Server 2002
5,27,1/1/2002 0:00,12/31/2002 0:00,,,,,,ERNI Education Camp 2002: .NET; High-level Architektur; Business Object Model; 4+1 View; Application Server
5,28,1/1/2002 0:00,12/31/2002 0:00,,,,,,ERNI Verhaltenstraining zu Kommunikation und Stressbewältigung
5,29,1/1/2001 0:00,12/31/2001 0:00,,,,,,ERNI Education Camp 2001: Softwarearchitekturen mit J2EE und .NET; Java; Wartung Project Ticker
5,30,1/1/2001 0:00,12/28/2001 0:00,,,,,,ERNI Project Focus Meeting über Software Engineering mit RUP
5,31,9/1/1997 0:00,8/31/2000 0:00,,,,,,"Studium an der Fachhochschule Rapperswil, Vertiefungsrichtung Informatik"
5,32,9/1/1994 0:00,8/31/1995 0:00,,,,,,"ISSKA, Informatikschule der Schweizerischen Kreditanstalt"
5,33,7/1/2010 0:00,7/31/2010 0:00,,,,,,Certified ScrumMaster
6,34,5/1/2008 0:00,6/1/2008 0:00,,,,England,Channel English Studies,Intensive English Language Course (Business-English)
6,35,10/1/1999 0:00,3/1/2007 0:00,,,,,ERNI,Jährliches Education Camp über Technologien und Prozesse
6,36,1/1/2000 0:00,1/1/2007 0:00,,,,,ERNI,"Regelmässiges Verhaltenstraining über Kommunikation, Stressbewältigung"
6,37,3/29/2005 0:00,4/1/2005 0:00,,,,USA,Tim Kasse,Introduction to CMMI
6,38,5/2/2004 0:00,5/7/2004 0:00,,,,Schweiz,ZFU,Zertifizierter Management-Lehrgang für Forschung & Entwicklung
6,39,1/1/1999 0:00,1/1/2002 0:00,,,,,ERNI,Jährliches Project Focus Meeting über Software Engineering Methoden
6,40,1/1/1994 0:00,4/28/1995 0:00,,,,,Hochschule Rapperswil,Nachdiplomstudium in Software Engineering
6,41,1/1/1990 0:00,5/22/1991 0:00,Dipl. Wirtschaftsingenieur STV,,,Zürich,IMAKA,Nachdiplomstudium in Betriebswirtschaft
6,42,1/1/1986 0:00,3/12/1987 0:00,,,,Oesterreich,Universität Klagenfurt,Lehrgang in Ingenieurpädagogik
6,43,10/1/1981 0:00,2/2/1987 0:00,Dipl. El. Ing. ETH,,,Schweiz,ETH Zürich,Studium Elektrotechnik
7,44,1/1/2007 0:00,12/31/2007 0:00,,,,,,Certified Professional for Requirements Engineering
7,45,1/1/2006 0:00,12/31/2006 0:00,,,,,,„Requirements Boot Camp“ Kurs von construx 
7,46,1/1/2006 0:00,12/31/2006 0:00,,,,,,Certified Project Manager (IPMA Level C)
7,47,9/1/2003 0:00,8/31/2006 0:00,,,,,,Jährliches ERNI Project Focus Meeting 
7,48,1/1/2005 0:00,12/31/2005 0:00,,,,,,“Introduction to CMMI (staged and continuous)” mit Tim Kasse 
