PersonId,KnowHowId,KnowHow,Category,Subcategory,
1,274,Team Leader,Functions,NULL,
1,344,Auditor,Functions,NULL,
1,581,SLA and OLA implementation,Functions,NULL,
1,642,Requirements Engineering,Methods/Processes,NULL,
1,698,Project management,Methods/Processes,NULL,
1,731,Scrum,Methods/Processes,NULL,
1,798,Process Improvement,Methods/Processes,NULL,
1,1238,Customer Support,Methods/Processes,NULL,
1,2882,Confluence,Technologies,Tools,
1,3072,Visual Basic for Applications (VBA),Technologies,Programming languages,
1,3107,MS Windows,Technologies,Operating Systems,
1,3201,Windows Server,Technologies,Operating Systems,
1,3252,HTML,Technologies,Programming languages,
1,3271,MS Project,Technologies,Tools,
1,3396,VBScript,Technologies,Programming languages,
1,3608,MySQL,Technologies,Databases,
1,3731,MS Office,Technologies,Tools,
1,3781,MS Visio,Technologies,Tools,
1,3812,Lotus Notes,Technologies,Tools,
1,3834,MS SharePoint,Technologies,Tools,
1,4042,Atlassian JIRA,Technologies,Tools,
1,4233,TCP/IP,Technologies,Networks/Protocols,
1,4260,Active Directory,Technologies,Networks/Protocols,
1,4543,Scrum Master,Functions,NULL,
1,5715,Sharepoint Designer,Technologies,Tools,
1,5771,Group Policies,Technologies,Tools,
1,5842,Control-M,Technologies,Operating Systems,
1,5876,POLYCOM,Technologies,Networks/Protocols,
1,6533,Information Technology,Industries,NULL,
1,6921,Windows PowerShell,Technologies,Programming languages,
1,8679,MS SQL,Technologies,Programming languages,
1,8764,Event management,Methods/Processes,NULL,
1,8881,Vertragsmanagement,Methods/Processes,NULL,
1,9342,Recruitment,Methods/Processes,NULL,
1,9645,Windows PowerShell,Technologies,Tools,
1,9659,MS Access ,Technologies,Tools,
1,10380,Project Manager,Functions,NULL,
1,10382,Project Leader,Functions,NULL,
1,11224,Object Oriented Programming,Methods/Processes,NULL,
1,11760,Icinga,Technologies,Other,
1,11937,Lotus Domino,Technologies,Tools,
1,11938,KIXtart,Technologies,Programming languages,
1,11941,SalesLogix,Technologies,Tools,
1,11942,Content Matrix,Technologies,Tools,
1,11943,Scribe Insight,Technologies,Tools,
1,11944,EMOT,Technologies,Tools,
1,11946,Service Desk Leader,Functions,NULL,
1,11947,Lucent and AVAYA PBX,Technologies,Other,
1,11948,Process Standardisation,Methods/Processes,NULL,
1,11960,Requirements Engineer,Functions,NULL,
1,12072,Migration Manager,Functions,NULL,
1,12056,IT Audit,Industries,NULL,
1,12057,Skriptprogrammierung,Methods/Processes,NULL,
1,12058,IT Auditor,Functions,NULL,
3,8796,PostgreSQL,Technologies,Databases,
3,6928,VB 6.0,Technologies,Programming languages,
3,6744,Emulation,Technologies,Other,
3,4359,POP,Technologies,Networks/Protocols,
3,4233,TCP/IP,Technologies,Networks/Protocols,
3,4234,UDP,Technologies,Networks/Protocols,
3,4236,SMTP,Technologies,Networks/Protocols,
3,4232,HTTP,Technologies,Networks/Protocols,
3,3858,MS Visual Studio 2008,Technologies,Tools,
3,3828,MS Visual Studio 2005,Technologies,Tools,
3,3866,OpenOffice,Technologies,Tools,
3,3712,MS Excel,Technologies,Tools,
3,3681,MS Word,Technologies,Tools,
3,3683,MS Word 2007,Technologies,Tools,
3,3684,MS PowerPoint 2007,Technologies,Tools,
3,3685,CVS,Technologies,Tools,
3,3607,MS SQL Server 2005,Technologies,Databases,
3,3686,Subversion (SVN),Technologies,Tools,
3,3608,MySQL,Technologies,Databases,
3,3553,Virtualization,Technologies,Packages,
3,3458,SDL,Technologies,Packages,
3,3256,PHP 3.0,Technologies,Programming languages,
3,3257,Python,Technologies,Programming languages,
3,3254,Assembler,Technologies,Programming languages,
3,3251,Basic,Technologies,Programming languages,
3,3259,Unix Shell,Technologies,Programming languages,
3,3255,Borland Pascal,Technologies,Programming languages,
3,3252,HTML,Technologies,Programming languages,
3,3253,XML,Technologies,Programming languages,
3,3258,C#,Technologies,Programming languages,
3,3250,C,Technologies,Programming languages,
3,3248,C++,Technologies,Programming languages,
3,3101,Windows 95,Technologies,Operating Systems,
3,3102,Windows 98,Technologies,Operating Systems,
3,3104,MS-DOS,Technologies,Operating Systems,
3,3098,Unix,Technologies,Operating Systems,
3,3100,Windows Vista,Technologies,Operating Systems,
3,3103,Linux,Technologies,Operating Systems,
3,3099,Windows XP,Technologies,Operating Systems,
