PersonId,Language,Level
3,Czech,C1 - Upper intermediate
3,English,C2 - Advanced
3,Slovak,L1 - Mother Tongue
3,Spanish,A2 - Elementary
5,German,L1 - Mother Tongue
5,English,C1 - Upper intermediate
6,English,C1 - Upper intermediate
6,German,L1 - Mother Tongue
6,French,B2 - Intermediate
8,German,L1 - Mother Tongue
8,English,C2 - Advanced
8,French,A2 - Elementary
21,English,C2 - Advanced
21,German,L1 - Mother Tongue
21,Spanish,C2 - Advanced
22,German,L1 - Mother Tongue
22,French,B1 - Pre-intermediate
22,English,C1 - Upper intermediate
23,English,C2 - Advanced
23,French,B2 - Intermediate
23,German,L1 - Mother Tongue
23,Portuguese,A2 - Elementary
23,Spanish,B2 - Intermediate
28,German,L1 - Mother Tongue
28,English,C1 - Upper intermediate
49,English,B2 - Intermediate
49,French,B1 - Pre-intermediate
49,German,L1 - Mother Tongue
49,Spanish,A1 - Beginner
50,German,L1 - Mother Tongue
50,Spanish,B1 - Pre-intermediate
50,English,C1 - Upper intermediate
52,English,C2 - Advanced
52,French,B2 - Intermediate
52,Italian,A1 - Beginner
52,German,L1 - Mother Tongue
52,Spanish,B2 - Intermediate
65,German,L1 - Mother Tongue
65,French,B2 - Intermediate
65,English,B2 - Intermediate
76,English,C2 - Advanced
76,French,L1 - Mother Tongue
76,German,L1 - Mother Tongue
81,German,A1 - Beginner
81,Slovak,L1 - Mother Tongue
81,Russian,B2 - Intermediate
81,English,C2 - Advanced
81,Czech,C2 - Advanced
84,Czech,C2 - Advanced
84,English,B2 - Intermediate
84,Slovak,L1 - Mother Tongue
84,German,C2 - Advanced
87,Slovak,L1 - Mother Tongue
101,French,C2 - Advanced
101,German,L1 - Mother Tongue
101,English,C2 - Advanced
102,English,C1 - Upper intermediate
102,French,L1 - Mother Tongue
102,German,L1 - Mother Tongue
102,Turkish,B2 - Intermediate
118,German,L1 - Mother Tongue
118,Italian,L1 - Mother Tongue
118,French,B1 - Pre-intermediate
118,English,C1 - Upper intermediate
122,Slovak,L1 - Mother Tongue
129,Italian,A2 - Elementary
129,German,L1 - Mother Tongue
129,English,C1 - Upper intermediate
129,French,B2 - Intermediate
136,English,C1 - Upper intermediate
136,Dutch,C1 - Upper intermediate
136,German,C2 - Advanced
136,Slovak,L1 - Mother Tongue
138,Spanish,B1 - Pre-intermediate
138,Japanese,B1 - Pre-intermediate
138,German,L1 - Mother Tongue
138,English,C2 - Advanced
138,French,B1 - Pre-intermediate
139,French,A2 - Elementary
139,English,C2 - Advanced
139,German,L1 - Mother Tongue
139,Italian,B1 - Pre-intermediate
139,Japanese,A1 - Beginner
139,Spanish,A1 - Beginner
142,Turkish,L1 - Mother Tongue
142,German,L1 - Mother Tongue
142,English,C2 - Advanced
149,English,C1 - Upper intermediate
149,German,L1 - Mother Tongue
150,German,L1 - Mother Tongue
150,English,B2 - Intermediate
150,French,A2 - Elementary
158,French,B2 - Intermediate
158,Czech,L1 - Mother Tongue
158,English,C2 - Advanced
158,Italian,A2 - Elementary
158,Polish,B2 - Intermediate
158,German,L1 - Mother Tongue
161,German,L1 - Mother Tongue
161,English,C1 - Upper intermediate
161,French,A1 - Beginner
162,English,C2 - Advanced
162,German,L1 - Mother Tongue
162,Italian,B2 - Intermediate
162,Japanese,A1 - Beginner
162,Russian,A1 - Beginner
162,French,C1 - Upper intermediate
162,Spanish,A2 - Elementary
168,German,L1 - Mother Tongue
168,English,C1 - Upper intermediate
168,French,A2 - Elementary
174,English,C1 - Upper intermediate
174,Italian,A1 - Beginner
174,German,L1 - Mother Tongue
175,Italian,A2 - Elementary
175,German,L1 - Mother Tongue
175,English,C1 - Upper intermediate
175,French,A2 - Elementary
