PersonId,ProjectId,KnowhowId,Knowhow,Category,SubCategory,
1,7061,2130,Microsoft Excel Pivot Tables,Technologies,Tools,
1,7061,3731,MS Office,Technologies,Tools,
1,7062,3812,Lotus Notes,Technologies,Tools,
1,7062,3608,MySQL,Technologies,Databases,
1,7062,4233,TCP/IP,Technologies,Networks/Protocols,
1,7062,4260,Active Directory,Technologies,Networks/Protocols,
1,7062,5771,Group Policies,Technologies,Tools,
1,7062,5876,POLYCOM,Technologies,Networks/Protocols,
1,7062,716,ITIL,Methods/Processes,NULL,
1,7062,1406,People Management,Methods/Processes,NULL,
1,7062,1678,budget management,Methods/Processes,NULL,
1,7062,9382,Mobile Technologien,Technologies,Tools,
1,7062,11937,Lotus Domino,Technologies,Tools,
1,7062,11938,KIXtart,Technologies,Programming languages,
1,7062,11947,Lucent and AVAYA PBX,Technologies,Other,
1,7062,11997,Underpinning Contract,Methods/Processes,NULL,
1,7062,11998,OLA,Methods/Processes,NULL,
1,7062,11999,SLA,Methods/Processes,NULL,
1,7062,11996,Printing Services,Technologies,Other,
1,7063,1015,Team leading,Methods/Processes,NULL,
1,7063,2374,DMS,Technologies,Tools,
1,7063,3900,CMS,Technologies,Tools,
1,7065,5842,Control-M,Technologies,Operating Systems,
1,7065,3812,Lotus Notes,Technologies,Tools,
1,7065,2939,Webportals,Technologies,Other,
1,7065,970,Documentation,Methods/Processes,NULL,
1,7065,887,Training and Coaching,Methods/Processes,NULL,
1,7065,1238,Customer Support,Methods/Processes,NULL,
1,7065,12053,Xinventa Batch Repository,Technologies,Tools,
1,7065,12054,Team Leading,Methods/Processes,NULL,
1,7065,11760,Icinga,Technologies,Other,
1,7066,12001,Hardware Provision,Technologies,Other,
1,7066,10211,Hardware-Software Integration,Methods/Processes,NULL,
1,7115,12054,Team Leading,Methods/Processes,NULL,
1,7115,12068,Dynatrace Application Monitoring,Technologies,Tools,
1,7115,11999,SLA,Methods/Processes,NULL,
1,7115,9342,Recruitment,Methods/Processes,NULL,
1,7115,1238,Customer Support,Methods/Processes,NULL,
1,7115,225,Redhat Linux,Technologies,Operating Systems,
1,7115,731,Scrum,Methods/Processes,NULL,
1,7115,798,Process Improvement,Methods/Processes,NULL,
1,7115,2461,Apache Tomcat,Technologies,Tools,
1,7115,3267,JavaScript,Technologies,Programming languages,
1,7115,3449,Linux Shell Scripts with Bash,Technologies,Programming languages,
1,7115,6096,BMC Remedy,Technologies,Tools,
1,7115,5633,Velocity Markup Language,Technologies,Programming languages,
1,7115,5184,DbVisualizer,Technologies,Tools,
1,7115,5528,Atlassian Confluence,Technologies,Tools,
1,7115,6519,Oracle DB  ,Technologies,Databases,
1,7115,4042,Atlassian JIRA,Technologies,Tools,
1,7129,5702,object-oriented programming,Methods/Processes,NULL,
1,7129,3396,VBScript,Technologies,Programming languages,
1,7129,642,Requirements Engineering,Methods/Processes,NULL,
1,7129,1238,Customer Support,Methods/Processes,NULL,
1,7129,8679,MS SQL,Technologies,Programming languages,
1,7129,11941,SalesLogix,Technologies,Tools,
1,7129,11943,Scribe Insight,Technologies,Tools,
1,7129,12057,Skriptprogrammierung,Methods/Processes,NULL,
1,7130,12071,Visual Studio Tools for Office,Technologies,Programming languages,
1,7130,11944,EMOT,Technologies,Tools,
1,7130,9867,C#/.NET,Technologies,Programming languages,
1,7130,1238,Customer Support,Methods/Processes,NULL,
1,7130,642,Requirements Engineering,Methods/Processes,NULL,
1,7130,698,Project management,Methods/Processes,NULL,
1,7130,731,Scrum,Methods/Processes,NULL,
1,7130,3271,MS Project,Technologies,Tools,
1,7130,3781,MS Visio,Technologies,Tools,
1,7130,3731,MS Office,Technologies,Tools,
1,7131,3731,MS Office,Technologies,Tools,
1,7131,3834,MS SharePoint,Technologies,Tools,
1,7131,5715,Sharepoint Designer,Technologies,Tools,
1,7131,6921,Windows PowerShell,Technologies,Programming languages,
1,7131,3252,HTML,Technologies,Programming languages,
1,7131,642,Requirements Engineering,Methods/Processes,NULL,
1,7131,1238,Customer Support,Methods/Processes,NULL,
1,7131,11942,Content Matrix,Technologies,Tools,
1,7132,11942,Content Matrix,Technologies,Tools,
1,7132,11944,EMOT,Technologies,Tools,
1,7132,11948,Process Standardisation,Methods/Processes,NULL,
1,7132,11941,SalesLogix,Technologies,Tools,
1,7132,9342,Recruitment,Methods/Processes,NULL,
1,7132,8679,MS SQL,Technologies,Programming languages,
1,7132,8881,Vertragsmanagement,Methods/Processes,NULL,
1,7132,1238,Customer Support,Methods/Processes,NULL,
1,7132,1661,Project Leading,Methods/Processes,NULL,
1,7132,642,Requirements Engineering,Methods/Processes,NULL,
1,7132,798,Process Improvement,Methods/Processes,NULL,
1,7132,2882,Confluence,Technologies,Tools,
1,7132,6757,Support Team Leading,Technologies,Operating Systems,
1,7132,5715,Sharepoint Designer,Technologies,Tools,
1,7132,5771,Group Policies,Technologies,Tools,
1,7132,5876,POLYCOM,Technologies,Networks/Protocols,
1,7132,4260,Active Directory,Technologies,Networks/Protocols,
1,7132,4233,TCP/IP,Technologies,Networks/Protocols,
1,7132,3834,MS SharePoint,Technologies,Tools,
1,7132,3731,MS Office,Technologies,Tools,
1,7133,3396,VBScript,Technologies,Programming languages,
1,7133,3072,Visual Basic for Applications (VBA),Technologies,Programming languages,
1,7133,642,Requirements Engineering,Methods/Processes,NULL,
1,7133,1661,Project Leading,Methods/Processes,NULL,
1,7133,9867,C#/.NET,Technologies,Programming languages,
1,7136,11937,Lotus Domino,Technologies,Tools,
1,7136,11947,Lucent and AVAYA PBX,Technologies,Other,
1,7136,11996,Printing Services,Technologies,Other,
1,7136,3608,MySQL,Technologies,Databases,
1,7136,3731,MS Office,Technologies,Tools,
1,7136,3812,Lotus Notes,Technologies,Tools,
1,7136,4233,TCP/IP,Technologies,Networks/Protocols,
1,7136,4260,Active Directory,Technologies,Networks/Protocols,
1,7136,5771,Group Policies,Technologies,Tools,
1,7229,3731,MS Office,Technologies,Tools,
1,7229,2130,Microsoft Excel Pivot Tables,Technologies,Tools,
1,7229,12144,IT Audit ,Methods/Processes,NULL,
3,1,595,ERNI Development Process,Methods/Processes,NULL,
