PersonId,ProjectId,Language,Task Description
3,1,English,Research of ways to accomplish some of the tasks.
3,1,English,Design of the system based on architecture provided.
3,1,English,Development of the system.
3,1,English,Testing.
3,1,English,Finding and fixing bugs.
3,1,English,Adjusting according to the customer needs.
3,2,English,Defining and discussing architecture of the system.
3,2,English,Designing parts of the system (Data and Business Layer) with cooperation with other members of the team.
3,2,English,Development of parts of the Data and Business Layer subsystems.
3,3,English,"Design and development of the whole IS, version 1.0 in the form of web forms and dynamic pages."
3,3,English,Development of the second version of IS as a client-server architecture.
3,3,English,Development of support tools and technologies.
3,4,English,Requirements analysis of the system.
3,4,English,Design and ongoing development of the system.
3,4,English,Data conversion.
3,5,English,Open source code analysis and editing.
3,5,English,Design and ongoing development of an Operating System.
3,5,English,Development of a multi-platform library for Windows and Linux OS that provides kernel emulation services.
3,5,English,Development of a tool MakeGen used to generate scripts to build the source code of the application.
3,5,English,Development of a build system based on the MakeGen tool.
3,6,English,Analysis of existing games.
3,6,English,Design of the game based on the results of the analysis.
3,6,English,Development of the game based on the design.
4,7,English,Definieren von Massnahmen und Strategien für das Testmanagement und die verschiedene Teststufen im V-Modell.
4,7,German,Definieren von Massnahmen und Strategien für das Testmanagement und die verschiedene Teststufen im V-Modell.
4,7,English,Besprechung und Koordination des Inhalts über alle Testprojekte. Abstimmen der Massnahmen und Strategien auf die Projekt-Entwicklungsphasen und auf die bereits definierten
,,,V&V Prozessvorgaben.
4,7,German,Besprechung und Koordination des Inhalts über alle Testprojekte. Abstimmen der Massnahmen und Strategien auf die Projekt-Entwicklungsphasen und auf die bereits definierten
,,,V&V Prozessvorgaben.
4,8,English,"Analyse, Design und Implementation der Software unter Verwendung des C++ Roundtrip Engineering mit Rational Rose und Visual C++"
4,8,German,"Analyse, Design und Implementation der Software unter Verwendung des C++ Roundtrip Engineering mit Rational Rose und Visual C++"
4,8,English,Koordination der Prozess Schritte und notwendigen Modul Kommandos mit den Modulverantwortlichen
4,8,German,Koordination der Prozess Schritte und notwendigen Modul Kommandos mit den Modulverantwortlichen
4,8,English,Abstimmung des Prozesses mit den Verantwortlichen für Bio Chemie
4,8,German,Abstimmung des Prozesses mit den Verantwortlichen für Bio Chemie
4,8,English,Definition der Testcases und Aufsetzen automatischer Unittest
,,,Methoden:
4,8,German,Definition der Testcases und Aufsetzen automatischer Unittest
,,,Methoden:
4,9,English,Definieren des Konzepts und der Algorithmen für die Berechnung des Prozessablaufs und dessen grafische Darstellung
4,9,German,Definieren des Konzepts und der Algorithmen für die Berechnung des Prozessablaufs und dessen grafische Darstellung
4,9,English,Erstellen der Visual Vasic Makros um den Ablauf als XML Daten zu exportieren
4,9,German,Erstellen der Visual Vasic Makros um den Ablauf als XML Daten zu exportieren
4,9,English,Beschreiben des Prozessablaufs in Koordination mit dem Bio Chemiker unter Anwendung des erstellten Tools
