PersonId,Skill,Level,Preferred,Development
1,ACQ,0,0,0
1,LEA,2,1,1
1,PER,0,0,0
1,PI,3,1,1
1,PJM,3,1,1
1,REQ,2,1,0
1,SWE,0,0,0
1,TES,1,0,0
2,ACQ,0,0,0
2,LEA,0,0,0
2,PER,0,0,0
2,PI,0,0,0
2,PJM,0,0,0
2,REQ,0,0,0
2,SWE,0,0,0
2,TES,0,0,0
3,ACQ,0,0,0
3,LEA,0,0,0
3,PER,0,0,0
3,PI,0,0,0
3,PJM,0,0,0
3,REQ,0,0,0
3,SWE,3,1,0
3,TES,1,0,0
4,ACQ,0,0,0
4,LEA,0,0,0
4,PER,0,0,0
4,PI,2,0,0
4,PJM,3,0,0
4,REQ,2,0,0
4,SWE,3,0,0
4,TES,4,1,0
5,ACQ,1,0,0
5,LEA,2,0,0
5,PER,3,0,0
5,PI,1,0,0
5,PJM,3,0,0
5,REQ,3,1,0
5,SWE,3,0,0
5,TES,2,0,0
6,ACQ,3,0,0
6,LEA,3,0,0
6,PER,4,0,0
6,PI,4,1,0
6,PJM,3,0,0
6,REQ,3,0,0
6,SWE,1,0,0
6,TES,1,0,0
7,ACQ,2,0,0
7,LEA,3,0,0
7,PER,4,1,0
7,PI,4,1,0
7,PJM,3,0,0
7,REQ,4,1,0
7,SWE,2,0,0
7,TES,2,0,0
8,ACQ,3,0,0
8,LEA,3,0,0
8,PER,3,0,0
8,PI,4,1,0
8,PJM,3,0,0
8,REQ,2,0,0
8,SWE,1,0,0
8,TES,1,0,0
9,ACQ,0,0,0
9,LEA,0,0,0
9,PER,0,0,0
9,PI,0,0,0
9,PJM,0,0,0
9,REQ,0,0,0
9,SWE,0,0,0
9,TES,0,0,0
10,ACQ,2,0,0
10,LEA,3,0,0
10,PER,2,0,0
10,PI,2,1,0
10,PJM,3,0,0
10,REQ,1,0,0
10,SWE,1,0,0
10,TES,3,0,0
11,ACQ,0,0,0
11,LEA,0,0,0
11,PER,0,0,0
11,PI,0,0,0
11,PJM,0,0,0
11,REQ,0,0,0
11,SWE,0,0,0
11,TES,0,0,0
12,ACQ,1,0,0
12,LEA,0,0,0
12,PER,1,0,0
12,PI,1,0,0
12,PJM,1,0,0
12,REQ,2,0,0
12,SWE,3,0,0
12,TES,1,0,0
13,ACQ,3,1,0
13,LEA,3,1,0
13,PER,3,1,0
13,PI,3,1,0
13,PJM,3,0,0
13,REQ,3,0,0
13,SWE,4,0,0
13,TES,2,0,0
14,ACQ,0,0,0
14,LEA,1,0,0
14,PER,0,0,0
14,PI,1,0,0
14,PJM,1,0,0
14,REQ,2,0,0
14,SWE,2,0,0
14,TES,3,1,0
15,ACQ,0,0,0
15,LEA,0,0,0
15,PER,0,0,0
15,PI,0,0,0
15,PJM,0,0,0
15,REQ,0,0,0
15,SWE,0,0,0
15,TES,0,0,0
16,ACQ,0,0,0
16,LEA,0,0,0
16,PER,0,0,0
16,PI,0,0,0
16,PJM,0,0,0
16,REQ,0,0,0
16,SWE,0,0,0
16,TES,0,0,0
17,ACQ,2,1,0
17,LEA,2,1,0
17,PER,3,1,0
17,PI,2,1,0
17,PJM,3,1,0
17,REQ,3,0,0
17,SWE,2,0,0
17,TES,2,0,0
18,ACQ,1,0,0
18,LEA,1,1,0
18,PER,2,1,0
18,PI,1,1,0
18,PJM,2,1,0
18,REQ,3,1,0
18,SWE,2,0,0
18,TES,2,0,0
19,ACQ,1,0,0
19,LEA,2,0,0
19,PER,2,0,0
19,PI,1,0,0
19,PJM,3,1,0
19,REQ,2,0,0
19,SWE,3,0,0
19,TES,2,0,0
20,ACQ,2,0,0
20,LEA,4,0,0
20,PER,2,0,0
20,PI,2,1,0
20,PJM,3,0,0
20,REQ,4,0,0
20,SWE,3,0,0
20,TES,1,0,0
21,ACQ,3,1,0
21,LEA,3,1,0
21,PER,2,1,0
21,PI,2,0,0
21,PJM,4,1,0
21,REQ,2,0,0
21,SWE,2,0,0
21,TES,2,0,0
22,ACQ,3,0,0
22,LEA,3,0,0
22,PER,3,0,0
22,PI,3,1,1
22,PJM,3,1,0
22,REQ,2,0,0
22,SWE,1,0,0
22,TES,2,0,0
23,ACQ,1,0,0
23,LEA,2,0,0
23,PER,3,0,0
23,PI,2,0,1
23,PJM,2,0,0
23,REQ,4,1,0
23,SWE,2,0,0
23,TES,3,0,0
25,ACQ,1,0,0
25,LEA,2,0,0
25,PER,3,0,0
25,PI,3,0,1
25,PJM,4,1,1
25,REQ,3,1,0
25,SWE,3,0,0
25,TES,2,0,0
26,ACQ,0,0,0
26,LEA,1,0,0
26,PER,0,0,0
26,PI,1,0,0
26,PJM,1,1,0
26,REQ,3,1,0
26,SWE,2,0,0
26,TES,3,0,0
27,ACQ,1,0,0
27,LEA,2,0,0
27,PER,0,0,0
27,PI,1,0,0
27,PJM,3,1,0
27,REQ,3,0,0
27,SWE,2,0,0
27,TES,1,0,0
28,ACQ,1,0,0
28,LEA,2,0,0
28,PER,2,0,0
28,PI,4,1,1
28,PJM,2,0,0
28,REQ,4,1,0
28,SWE,2,0,0
28,TES,3,0,0
29,ACQ,0,0,0
29,LEA,0,0,0
29,PER,0,0,0
29,PI,0,0,0
29,PJM,0,0,0
29,REQ,0,0,0
29,SWE,0,0,0
29,TES,0,0,0
30,ACQ,0,0,0
30,LEA,0,0,0
30,PER,0,0,0
30,PI,0,0,0
30,PJM,1,0,0
30,REQ,1,1,0
30,SWE,2,0,0
30,TES,3,1,0
31,ACQ,0,0,0
31,LEA,0,0,0
31,PER,0,0,0
31,PI,3,1,0
31,PJM,4,0,0
31,REQ,3,0,0
31,SWE,2,0,0
31,TES,2,0,0
32,ACQ,1,0,0
32,LEA,0,0,0
32,PER,1,0,0
32,PI,3,1,0
32,PJM,2,0,0
32,REQ,2,0,0
32,SWE,3,0,0
32,TES,0,0,0
33,ACQ,0,0,0
33,LEA,1,0,0
33,PER,2,0,0
33,PI,1,0,0
33,PJM,1,0,0
33,REQ,2,0,0
33,SWE,3,1,0
33,TES,2,0,0
34,ACQ,0,0,0
34,LEA,0,0,0
34,PER,0,0,0
34,PI,0,0,0
34,PJM,0,0,0
34,REQ,0,0,0
34,SWE,0,0,0
34,TES,0,0,0
35,ACQ,0,0,0
35,LEA,0,0,0
35,PER,0,0,0
35,PI,0,0,0
35,PJM,0,0,0
35,REQ,0,0,0
35,SWE,0,0,0
35,TES,0,0,0
36,ACQ,1,0,0
36,LEA,2,0,0
36,PER,2,0,0
36,PI,1,0,0
36,PJM,3,1,0
36,REQ,2,0,0
36,SWE,3,0,0
36,TES,2,0,0
37,ACQ,2,0,0
37,LEA,3,0,0
37,PER,3,0,0
37,PI,3,0,0
37,PJM,3,0,0
37,REQ,2,0,0
37,SWE,3,0,0
37,TES,3,0,0
38,ACQ,1,0,0
38,LEA,3,1,0
38,PER,3,0,0
38,PI,2,0,0
38,PJM,3,1,0
38,REQ,3,1,0
38,SWE,3,0,0
38,TES,3,0,0
39,ACQ,0,0,0
39,LEA,0,0,0
39,PER,0,0,0
39,PI,0,0,0
39,PJM,0,0,0
39,REQ,1,0,0
39,SWE,4,1,0
39,TES,2,0,0
40,ACQ,0,0,0
40,LEA,0,0,0
40,PER,0,0,0
40,PI,0,0,0
40,PJM,0,0,0
40,REQ,0,0,0
40,SWE,0,0,0
40,TES,0,0,0
41,ACQ,0,0,0
41,LEA,0,0,0
41,PER,0,0,0
41,PI,0,0,0
41,PJM,0,0,0
41,REQ,0,0,0
41,SWE,0,0,0
41,TES,0,0,0
42,ACQ,0,0,0
42,LEA,0,0,0
42,PER,1,0,0
42,PI,0,0,0
42,PJM,1,0,0
42,REQ,2,0,0
42,SWE,3,1,0
42,TES,2,0,0
43,ACQ,4,0,0
43,LEA,4,1,0
43,PER,4,0,0
43,PI,4,0,0
43,PJM,4,0,0
43,REQ,2,0,0
43,SWE,1,0,0
43,TES,1,0,0
44,ACQ,0,0,0
44,LEA,0,0,0
44,PER,0,0,0
44,PI,0,0,0
44,PJM,0,0,0
44,REQ,0,0,0
44,SWE,0,0,0
44,TES,0,0,0
45,ACQ,2,0,0
45,LEA,2,0,0
45,PER,4,1,0
45,PI,4,0,0
45,PJM,4,0,0
45,REQ,3,0,0
45,SWE,2,0,0
45,TES,3,0,0
46,ACQ,0,0,0
46,LEA,0,0,0
46,PER,0,0,0
46,PI,0,0,0
46,PJM,0,0,0
46,REQ,0,0,0
46,SWE,0,0,0
46,TES,0,0,0
47,ACQ,0,0,0
47,LEA,2,0,0
47,PER,2,0,0
47,PI,1,0,0
47,PJM,2,1,0
47,REQ,2,1,0
47,SWE,4,1,0
47,TES,2,0,0
48,ACQ,1,0,0
48,LEA,2,0,0
48,PER,4,0,0
48,PI,2,1,0
48,PJM,4,0,0
48,REQ,3,0,0
48,SWE,1,0,0
48,TES,2,0,0
49,ACQ,2,1,0
49,LEA,2,1,0
49,PER,2,1,0
49,PI,1,1,0
49,PJM,3,1,0
49,REQ,3,0,0
49,SWE,4,0,0
49,TES,1,0,0
50,ACQ,2,0,0
50,LEA,2,0,0
50,PER,2,0,0
50,PI,1,0,0
50,PJM,2,1,1
50,REQ,2,1,0
50,SWE,4,1,0
50,TES,1,0,0
51,ACQ,4,1,0
51,LEA,4,1,0
51,PER,3,0,0
51,PI,3,1,0
51,PJM,3,1,0
51,REQ,4,0,0
51,SWE,1,0,0
51,TES,2,0,0
52,ACQ,2,0,1
52,LEA,2,0,1
52,PER,2,0,0
52,PI,2,1,1
52,PJM,2,1,0
52,REQ,3,1,0
52,SWE,4,1,1
52,TES,2,0,0
53,ACQ,3,0,0
53,LEA,2,0,0
53,PER,2,0,0
53,PI,1,0,0
53,PJM,4,1,0
53,REQ,1,0,0
53,SWE,2,0,0
53,TES,1,0,0
54,ACQ,1,0,0
54,LEA,3,1,1
54,PER,2,1,1
54,PI,1,0,0
54,PJM,2,0,0
54,REQ,3,1,0
54,SWE,4,1,1
54,TES,2,0,0
55,ACQ,0,0,0
55,LEA,0,0,0
55,PER,0,0,0
55,PI,0,0,0
55,PJM,0,0,0
55,REQ,1,0,0
55,SWE,3,0,0
55,TES,1,0,0
56,ACQ,0,0,0
56,LEA,0,0,0
56,PER,0,0,0
56,PI,0,0,0
56,PJM,1,0,0
56,REQ,1,0,0
56,SWE,3,1,0
56,TES,2,0,0
57,ACQ,1,0,0
57,LEA,3,1,1
57,PER,2,1,1
57,PI,1,0,0
57,PJM,2,1,0
57,REQ,2,0,0
57,SWE,3,0,0
57,TES,2,0,0
58,ACQ,0,1,0
58,LEA,2,1,0
58,PER,0,1,0
58,PI,0,1,0
58,PJM,0,1,0
58,REQ,0,1,0
58,SWE,3,1,0
58,TES,3,1,0
59,ACQ,1,0,0
59,LEA,2,0,0
59,PER,0,0,0
59,PI,2,0,0
59,PJM,2,0,0
59,REQ,2,1,0
59,SWE,3,0,0
59,TES,2,0,0
60,ACQ,0,0,0
60,LEA,0,0,0
60,PER,0,0,0
60,PI,0,0,0
60,PJM,2,0,0
60,REQ,0,0,0
60,SWE,1,0,0
60,TES,0,0,0
61,ACQ,1,0,0
61,LEA,2,0,0
61,PER,2,0,0
61,PI,1,0,0
61,PJM,2,0,0
61,REQ,3,0,0
61,SWE,2,0,0
61,TES,2,0,0
62,ACQ,1,0,0
62,LEA,2,0,0
62,PER,2,0,0
62,PI,0,0,0
62,PJM,0,0,0
62,REQ,0,0,0
62,SWE,3,0,0
62,TES,1,0,0
63,ACQ,1,0,0
63,LEA,2,0,0
63,PER,1,0,0
63,PI,2,0,0
63,PJM,3,0,0
63,REQ,3,1,0
63,SWE,1,0,0
63,TES,2,0,0
64,ACQ,1,0,0
64,LEA,1,1,0
64,PER,2,1,0
64,PI,1,0,0
64,PJM,2,1,1
64,REQ,2,0,0
64,SWE,3,0,0
64,TES,1,0,0
65,ACQ,1,0,0
65,LEA,1,0,0
65,PER,1,0,0
65,PI,3,0,1
65,PJM,2,0,0
65,REQ,4,1,0
65,SWE,2,0,0
65,TES,2,0,0
66,ACQ,0,0,0
66,LEA,0,0,0
66,PER,0,0,0
66,PI,0,0,0
66,PJM,0,0,0
66,REQ,0,0,0
66,SWE,0,0,0
66,TES,0,0,0
67,ACQ,0,0,0
67,LEA,0,0,0
67,PER,0,0,0
67,PI,1,0,0
67,PJM,3,0,0
67,REQ,2,0,0
67,SWE,1,0,0
67,TES,1,0,0
69,ACQ,1,0,0
69,LEA,3,1,1
69,PER,2,1,1
69,PI,1,0,0
69,PJM,1,0,0
69,REQ,1,0,0
69,SWE,4,1,1
69,TES,2,0,0
70,ACQ,1,0,0
70,LEA,2,0,0
70,PER,1,0,0
70,PI,0,0,0
70,PJM,2,1,0
70,REQ,1,0,0
70,SWE,3,0,0
70,TES,2,0,0
71,ACQ,0,0,0
71,LEA,0,0,0
71,PER,0,0,0
71,PI,0,0,0
71,PJM,0,0,0
71,REQ,0,0,0
71,SWE,0,0,0
71,TES,0,0,0
72,ACQ,0,0,0
72,LEA,0,0,0
72,PER,0,0,0
72,PI,0,0,0
72,PJM,0,0,0
72,REQ,0,0,0
72,SWE,0,0,0
72,TES,0,0,0
73,ACQ,0,0,0
73,LEA,0,0,0
73,PER,0,0,0
73,PI,0,0,0
73,PJM,0,0,0
73,REQ,0,0,0
73,SWE,0,0,0
73,TES,0,0,0
74,ACQ,0,0,0
74,LEA,0,0,0
74,PER,1,0,0
74,PI,1,0,0
74,PJM,1,0,0
74,REQ,3,1,0
74,SWE,2,0,0
74,TES,3,0,0
75,ACQ,0,0,0
